V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
4951,407468,33,1,3,6,,0,,,,,,,dishonest,same party,,healthcare,abortion,similar beliefs,
4952,407476,70,1,3,3,1,0,1.5,5.5,6,4,4.5,,she lies,he's NOT a politician,his sense of self importance/massive ego,,,,
4953,407479,27,0,1,4,1,0,3,4,7,3.5,4.5,,Benghazi,He can't be bought by the government,,,They have ruined our country,They believe in our country,Some don't support Trump
4954,407482,64,0,3,2,3,0,4,4,7,3.5,3.5,She's not Donald Trump!,A career politician who thinks she is above the law.,He's not a career politician,He has no knowledge about anything; a pathological liar,,They sold out to corporate lobbyists just like Republicans,,They nominated Donald Trump for President
4955,407484,21,1,1,3,1,1,5.5,5,6.5,2,6.5,,Doesn't like gays,,EVERY THING,,,,
4956,407485,59,1,2,0,0,0,4,4,4,3.5,4.5,WOMAN strenght,,,Personal,wrong or right,wrong or right,,wrong
4957,407492,55,0,3,5,,0,,,,,,,She is VERY liberal and will continue to destroy our nation.,I can not vote for Clinton,I am concerned that he will not do as he promised to do.,,It is very liberal and is destroying the values of the USA.,It is more conserative and trys to protect our values.,Compromises to much.
4958,407496,42,1,2,5,1,0,4,2.5,5.5,5,6,,,Job position,,,,,
4959,407502,72,0,1,3,0,0,2.5,6,4,2.5,5.5,,,,,,,,
4960,407503,37,0,2,5,2,0,4,4,6,2,5,,Not trust worthy and socially awkward.,Not a politician.,"Racism, not professional, doesn't value God/Christianty",,Not so much Christian values. The believe in abortion,Pro Gun rights pro life,Don't believe in gay rights
4961,407505,29,1,2,3,,0,,,,,,Her international policies,,,He flip flops on issues,Strong backing of candidate,Not being able to ever agree with the Republican Party,,Support for Trump in the first place. They chose popularity
4962,407506,32,1,2,4,,0,,,,,,,LIAR,,He is a racist,,,,
4963,407510,41,0,1,0,1,0,2.5,3,5,2.5,4,,,,,,,,
4964,407519,24,1,2,2,0,0,4.5,7,6,2.5,7,,,,"Ignorant man, bad for America just bad for people.",More about the people.,,,
4965,407521,65,0,1,6,,0,,,,,,,,,,,they are not for the poor people of the country,they are more for the poor man,
4966,407522,54,1,1,4,1,0,1,6.5,6,5,2,,She's a Democrat,He's Republican,Don't like him,,,,
4967,407527,77,0,3,5,3,0,3,3.5,6.5,4,5,,Do not trust her,I trust his political platform,,,No progress for USA,,
4968,407528,67,0,3,6,2,0,5,4,6.5,3.5,6,,,,,,,For the people,
4969,407529,,1,3,6,2,0,7,6.5,4.5,2.5,,,she is a liar,,,Hilary Clinton,,foreign policy,
4970,407533,54,0,2,6,,0,,,,,,,EVERYTHING SHE STANDS FOR,HIS KNOWLEDGE OF BUISNESS,,,TOO MUCH GOVERMENT,LESS GOVERMENT,TOO MUCH POLITICS
4971,407534,18,0,1,3,2,0,4,5,4,5.5,5,"Her views on gun control, and other stuff",,,Has said innappriate stuff.,"Democrats are considered more liberal,they are more educated",,Republicans are considered on the 'right' end of the politic,
4972,407536,54,1,3,1,2,0,4,6.5,6.5,3,6,Foreign policy and government knowledge,Ethics issues that have arisen int he media,,"His overall personality, lack of filter, view of women",view on health care and economy,abortion and other policy,,
4973,407537,39,0,1,0,2,0,6.5,5.5,5.5,5,6.5,she is not donald trump.,,,everything. he is a hate monger and the absolute worst human,it doesn't have donald trump as its candidate,,,"everything they represent. evil,corruption, hate,greed...etc"
4974,407539,20,0,2,4,3,0,6,3,3,5,5.5,,,"His will to speak his mind, and the fact he is not a lobbied",He at times can be beyond ignorant,,Their whole election system is rigged,I share some but not all of the parties views,The party system as a whole
4975,407541,41,0,1,0,1,0,2.5,6.5,6,1.5,4,Es una persona que podria ayudar al pais para el bienestar,,,Es una persona muy egoista,El partido democrata siempre trata de mejorar el pais,El parido democrata siempre ayuda al pais,,
4976,407542,36,1,3,1,,0,,,,,,Previous Experience in politics,Her time as Secretary of State,He would be a huge change in the Oval Office,He doesnt know when to shut up,,,Gov. Pence,I think that the GOP helps corporations as their 1st priorit
4977,407546,60,1,2,1,1,0,5,6,6.5,2.5,6,democrat and bill clinton did a good job as president,email disclosure,he's not a politician  making america great again,him changing his stance on issues,for the middle class,obama,,not for middle class
4978,407547,59,1,3,1,2,0,2.5,7,7,3,4,,Her views on abortion,,His making fun of a disabled person,,Excessive Spending,Help big business which helps creates jobs,Less direct help for low income people
4979,407548,58,0,1,1,0,0,4,4,4,4,4,,,I DONT LIKE HIM,HE LIES,,,,I DONT LIKE TRUMP
4980,407549,60,1,1,4,2,0,4,5,4.5,4.5,4.5,,She's a liar and not fit for office,Change,,,Social Welfare and immigration issues,,
